Tanggal,Username,Tweet,Stemming,Translate,Label
Wed Jul 10 09:48:28 +0000 2024,dancersejati07,Berarti Juli 50 tahun lagi. 9 Juli 2024: Jokowi Sebut Akan Pindah ke IKN Saat Infrastuktur Telah Rampung https://t.co/87f6OgUguN #TagihJokowiJuliDiIKN #TagihJokowiJuliDiIKN,arti juli 50 tahun 9 juli 2024 jokowi sebut pindah ikn infrastuktur rampung,"the meaning of july 50 years july 9, 2024 jokowi moving ikn infrasturuity completed",Netral
Wed Jul 10 03:36:02 +0000 2024,Srik4ndiMuslim2,Juli 1.000 tahun lagi? Gak usah deh. 9 Juli 2024: Jokowi Sebut Akan Pindah ke IKN Saat Infrastuktur Telah Rampung https://t.co/DDOo5jk7Lm #TagihJokowiJuliDiIKN #TagihJokowiJuliDiIKN,juli 1000 tahun tidak usah deh 9 juli 2024 jokowi sebut pindah ikn infrastuktur rampung,"july 1000 years does not need to be july 9, 2024 jokowi moving ikn infrasturuity completed",Netral
Tue Jul 09 07:07:34 +0000 2024,KinkinAsikin1,@tempodotco Kapan infrastuktur IKN rampung? Sepertinya Jokowi keburu lengser,kapan infrastuktur ikn rampung seperti jokowi keburu lengser,when will ikn infrastructure be completed like jokowi hurriedly stepped down,Netral
Tue Jul 09 00:10:40 +0000 2024,JokoLipService,Jokowi batal pindah kantor ke IKN bulan ini terkendala infrastuktur belum siap. Mau pindah aja ngga pakai perhitungan. Bicara sih gampang Juli. https://t.co/T5ng4qYEqJ,jokowi batal pindah kantor ikn bulan kendala infrastuktur siap mau pindah aja ngga pakai hitung bicara sih gampang juli,jokowi canceled moving offices for the month of infrastructure constraints ready to move or not to use the calculation of talking it's easy july,Mendukung
Tue Jul 09 00:08:20 +0000 2024,PawiroTumin,@tempodotco Bapak Jokowi infrastuktur akan siap si IKN itu mungkin bertahun tahun lagi dan prediksi saya IKN akan mangkrak??? Apa bpk percaya Prabowo akan melanjutkan IKN uang dari mana......?,bapak jokowi infrastuktur siap si ikn mungkin tahun tahun dan prediksi ikn mangkrak apa bpk percaya prabowo lanjut ikn uang mana,mr. jokowi infrastructure is ready in the ikn may be years and the prediction of ikn stalled whether bpk believes prabowo continued which money,Mendukung
Mon Jul 08 23:04:14 +0000 2024,tempodotco,Jokowi Sebut Akan Pindah ke IKN Saat Infrastuktur Telah Rampung https://t.co/0nEtrkNTBu #TempoVideo,jokowi sebut pindah ikn infrastuktur rampung,jokowi said that the infrastructure was completed,Netral
Sun Jul 07 07:54:50 +0000 2024,RadioElshinta,Janga Lewatkan #PowerBreakfast Senin (8/7) bersama Ketua Satgas Pelaksanaan Pembangunan Infrastuktur Ibu Kota Negara (IKN) Danis Hidayat Sumdadilaga. LIVE di Radio Elshinta 90 FM dan Media Sosial Elshinta! https://t.co/IQeHpojZGh,janga lewat senin 87 sama ketua satgas laksana bangun infrastuktur ibu kota negara ikn dan hidayat sumdadilaga live radio elshinta 90 fm media sosial elshinta,do not go here 87 with the chairperson of the task force like building infrastructure capital city ikn and hidayat sumdadilaga live radio elshinta 90 fm social media elshinta,Netral
Fri Jul 05 06:47:18 +0000 2024,ruangantihoax,@ewangiggs jgn diputarbalikkan bung. justru diprediksi produksi akan meningkat krn bnyaknya permintaan dr ikn seiring kemudahan akomodasi transport infrastuktur apalagi mulai pindahnya para ASN TNI dan Polri ke IKN agustus nanti.,jgn diputarbalikkan bung justru prediksi produksi tingkat krn bnyaknya minta dr ikn iring mudah akomodasi transport infrastuktur mulai pindah asn tni polri ikn agustus,"do not turn around, dude, the prediction of production levels because many are asking for an easy accommodation of infrastructure transport accommodation starting to move asn tni polri ikn august",Mendukung
Thu Jul 04 09:18:21 +0000 2024,sokoguruid,DPR Nilai Pembangunan Infrastruktur IKN Berjalan Lambat https://t.co/zLsBp8FG46 Pemerintah harus menunjukkan keseriusan dalam mengejar target pembangunan infrastruktur IKN terutama menjelang perayaan HUT ke-79 Kemerdekaan RI. #InfrastukturIKN #Pembangunan https://t.co/YJDHWhRQr5,dpr nilai bangun infrastruktur ikn jalan lambat perintah tunjuk serius kejar target bangun infrastruktur ikn utama jelang raya hut ke79 merdeka ri,dpr builds ikn infrastructure value slow roads order seriously chase the target of building ikn utama infrastructure ahead of the 79th anniversary of merdeka,Tidak Mendukung
Wed Jul 03 07:17:46 +0000 2024,Metro_TV,Anggota Komisi V DPR RI melakukan kunjungan kerja spesifik ke Ibu Kota Nusantara (IKN) dalam rangka meninjau langsung progress pembangunan infrastuktur yang sedang telah dan akan dilakukan. #dprri #komisivdprri #ikn #ibukotanusantara #pembangunanikn https://t.co/fN2Zkc4Vlb,anggota komisi v dpr republik indonesia laku kunjung kerja spesifik ibu kota nusantara ikn rangka tinjau langsung progress bangun infrastuktur sedang dan laku,"member of commission v dpr of the republic of indonesia, sells specific work of the capital city of the archipelago, ikn, the progress of building infrastructure is in direct and behavior",Netral
Mon Jan 29 14:55:10 +0000 2024,anggisdinata,@geloraco Banyak proyek infrastuktur jokowi yang gagal/tidak menguntungkan bukannya belajar dari pengalaman malah semakin jorjoran bangun IKN.,banyak proyek infrastuktur jokowi gagaltidak untung bukan ajar alam malah makin jorjoran bangun ikn,many jokowi's infrastructure projects failed not for natural teaching materials even more and more,Mendukung
Wed Jan 24 04:59:21 +0000 2024,fakhrulrj,Mereka jg bilang kalo IKN ini jd terealisasi kemungkinan mereka &amp; anak2 mereka akan jd gelandangan yg skrg ada dijakarta. Jgn bilang kalo mereka cm mengeluh tanpa berusaha karna jk mereka tertinggal itu jg karna pemerintah cm mementingkan infrastuktur tanpa peduli kualitas SDMnya,jg bilang kalo ikn jadi realisasi mungkin amp anak2 akan jadi gelandang skrg dijakarta jgn bilang kalo cm keluh usaha karna mereka tinggal jg karna perintah cm penting infrastuktur peduli kualitas sdmnya,"i also said that if ikn is a realization, maybe the children will be a midfielder now, don't say that if you complain about business because they live because the order is important to infrastructure the quality of the human resources",Netral
Sun Jan 21 12:26:10 +0000 2024,officialntv_,Kemudian ia juga mewaspadai terkait pembangunan Ibu Kota Negara (IKN) Nusantara yang dapat memicu konflik agraria yang baru. #BreakingNews #DebatCawapres #MuhaiminIskandar #GibranRakabuming #MahfudMD #KPU #IKN #infrastuktur #pangan #hutan #nusantaratv,kemudian juga waspada kait bangun ibu kota negara ikn nusantara dapat picu konflik agraria baru,then also alert to the hook of the capital city of the country of ikn nusantara can trigger new agrarian conflicts,Netral
Thu Jan 18 09:42:18 +0000 2024,zenondown,@tempodotco Gimana mau bngun IKN klo panglima infrastuktur mundur. Kapal mulai Oleng ... Nahkodanya Sambil mabok .. ABK pada mulai loncat satu persatu,gimana mau bngun ikn klo panglima infrastuktur mundur kapal mulai oleng nahkoda mabok abk mulai loncat satu satu,how do you want to use if the commander of the infrastructure backwards the ship starts to shake the captain of the drunken captures,Netral
Sat Jan 06 22:23:10 +0000 2024,healingdisosmed,@sosmedkeras Pembangunan pulau Jawa yg besar²an dan selalu update mngkin krena menjadi pusat pemerintahan ya? Biar dipandang bagus sama negara luar. Tapi semoga dngn adanya IKN di Kalimantan infrastuktur nya jadi semakin merata (gak cuman jalan tol tapi transportasi lainnya juga berkembang),bangun pulau jawa besar selalu update mngkin krena jadi pusat perintah biar pandang bagus sama negara luar moga dngn ada ikn kalimantan infrastuktur nya jadi makin rata cuman jalan tol transportasi lain kembang,"building the large island of java always updates it because it becomes a center of order to make a good point of view with the country outside, hopefully there is a kalimantan infrastructure so that it is even more even more transportation toll road flowers",Mendukung
Fri Jan 05 12:25:40 +0000 2024,Picalistic,Mari berkhayal.. Gue klo jd pr3siden bakal fokus dg masalah pendidikan (khususny masalah sekolah 3T dan kurikulum nya) lapangan pekerjaan (pengangguran banyak) infrastuktur (ngelanjutin pembangunan pak Jk dan IKN) dan militer (kita mau pindah ibukota trus wilayah kita rawan),khayal klo jadi pr3siden bakal fokus masalah didik khususny masalah sekolah 3t kurikulum nya lapang kerja anggur banyak infrastuktur ngelanjutin bangun pak ikn dan militer mau pindah ibukota terus wilayah rawan,fierce if it becomes a pr3sident will focus on the problem of students specifically the 3t school of school curriculum work field work work many infrastructure continuing to build mr. ikn and the military want to move the capital and continue to be vulnerable,Netral
Thu Dec 28 14:18:27 +0000 2023,diantaratitik,@fajarnugros Infrastuktur buat apa kalau mau berobat harus terbang dulu ke IKN? Ya mending batalin IKN bangun rumah sakit kelas A disetiap ibu kota provinsi atau disetiap daerah yang butuh. IKN butuh dana 500T lebih 1 rumah sakit kelas butuh 1T doang. Pilih mana? Gimana? ,infrastuktur buat apa kalau mau obat terbang dulu ikn mending batalin ikn bangun rumah sakit kelas a tiap ibu kota provinsi tiap daerah butuh ikn butuh dana 500t lebih 1 rumah sakit kelas butuh 1t doang pilih mana gimana,"infrastructure for what if you want to fly medicine first, it is better to cancel the building of a class a hospital for each provincial capital, each region needs to need 500t funds more than 1 class hospital needs 1t.",Mendukung
Thu Dec 28 07:39:44 +0000 2023,NelfidaDjamil,@sociotalker Kuereeen banget jawabnnya prof langsung ke ulu hati. Bisa2nya mrk memvisikan orang dr papua berobatnya ke IKN kenapa nggk bangun infrastuktur termasuk RS yg lengkap di tiap2 kota termasuk di Papua sehingga kalau sakit mrk tdk perlu berobat keluar daerahnya.,kuereeen banget jawabnnya prof langsung ulu hati bisa2nya mrk visi orang dr papua obat ikn nggk bangun infrastuktur masuk rs lengkap tiap2 kota masuk papua kalau sakit mrk tdk perlu obat keluar daerah,"really the answer is that the answer is that the solar plexus can immediately be the vision of people from papua drugs, not to build infrastructure to enter the complete hospital, every city enters papua if they are sick, they don't need drugs out of the area",Netral
Tue Dec 26 10:56:58 +0000 2023,HaikalAlbara,@Yurissa_Samosir @AdamVelcro @AdeDhani9 @AkalSehat2024 @aking_adit @chaidar_2000 @Kang_Toniee @NohCeukenohhh @RidNgemil @choymarkochoy Apakah standar untuk bisa jadi Presiden adalah melanjutkan/stop IKN? Masih banyak program2 lain bukan hanya IKN Rumah Sakit/Puskesmas Sekolah Pupuk subsidi rumah BBM Subsidi infrastuktur jalan dll,standar bisa jadi presiden melanjutkanstop ikn banyak program2 bukan ikn rumah sakitpuskesmas sekolah pupuk subsidi rumah bbm subsidi infrastuktur jalan,standards can be president to continue stop ikn many programs not oikn hospital puskesmas school fertilizer subsidized bbm subsidized road infrastructure,Mendukung
Mon Dec 25 09:56:30 +0000 2023,mledukjon,@onseven_saif @djuangkrik88 @DadangRusdi @dodojogja2 @aniesbaswedan Edukasi apanya? Apakah masyarakat Kalimantan ga berhak punya infrastuktur yg modern? Jangan kau bilang alasan masih banyak yg lapar ga perlu ikn. Negara maju yg kelaparan tetep ada. Mestinya kalian lah penolak infrastuktur harus di edukasi.,edukasi apa masyarakat kalimantan hak punya infrastuktur modern jangan kau bilang alas banyak lapar perlu ikn negara maju lapar tetep mesti kalian lah tolak infrastuktur di edukasi,"education is the people of kalimantan the right to have a modern infrastructure do not say that there is a lot of hungry alas, it needs to be a developed country, but you must reject the infrastructure in education",Netral
Sat Dec 23 20:03:59 +0000 2023,AlhadiStef44186,@fadlizon @narasitv @NajwaShihab @gibran_tweet Hilirisasi generasi emas stunting makan grts IKN. apapun pertanyaan dan pembahasanya diplomasi =&gt;hilirisasi =&gt;infrastuktur sosial=&gt;stunting=&gt;mkn grtis=&gt;genersi emas=&gt;pemerataan kota=&gt;IKN. Yang bikin pusing.(carbone storage hilirisasi digital SGIE),hilir generasi emas stunting makan grts ikn apa tanya bahasa diplomasi gthilirisasi gtinfrastuktur sosialgtstuntinggtmkn grtisgtgenersi emasgtpemerataan kotagtikn bikin pusingcarbone storage hilir digital sgie,downstream gold generation stunting eating grts ikn what is the diplomacy language gthilirization gtinfrasturu socimgtentinggnmkn grtisgtegness gold gressewners,Netral
Sat Dec 23 14:54:09 +0000 2023,Bisniscom,Gibran Sebut IKN sebagai Komitmen Pemerataan Ekonomi dan Makan Siang Gratis sebagai Infrastuktur Sosial https://t.co/UzUOSE2Gxb,gibran sebut ikn komitmen perata ekonomi makan siang gratis infrastuktur sosial,gibran calls the commitment of economic economic economic commitment to lunch free social infrastructure,Mendukung
Sat Dec 23 11:13:11 +0000 2023,sat0ruu3,@cakimiNOW dibanding merevasilitasi dan membangun infrastuktur baru dan itu belum termasuk dana buat membangun 40 kota setara metropolitan lebih baik melanjutkan ikn sbg ibukota baru Indonesia pak hehehe ga ingat klo jakarta mau tenggelam?,banding merevasilitasi bangun infrastuktur baru itu masuk dana buat bangun 40 kota tara metropolitan lebih baik lanjut ikn sbg ibukota baru indonesia pak hehehe ingat klo jakarta mau tenggelam,"the appeal facilitates the building of the new infrastructure into the funds to build 40 tara metropolitan cities, it is better to continue as the new capital of indonesia, pak hehehe, remember that jakarta wants to sink",Mendukung
Fri Dec 22 18:21:09 +0000 2023,budak904,@GantineRamane @NyaiiBubu @gibran_tweet Makanya hanya manusia yang baru lahir tadi subuh yang anggap si samsul itu nyambung dalam menjawab pertanyaan terkait diplomasi intenasional kenaikan pajak investor ikn dan infrastuktur sosial.,makanya manusia baru lahir tadi subuh anggap si samsul nyambung jawab tanya kait diplomasi intenasional naik pajak investor ikn infrastuktur sosial,that's why the newly born man at dawn considers the samsul connecting the question of the international diplomacy diplomacy.,Netral
Fri Dec 22 13:30:40 +0000 2023,catchmeupco,Pertanyaan ketiga: Pembangunan Infrastuktur FISIK atau Pembangunan SDM??? Mas Gibran: Dua-duanya penting. Karena Indonesia emas -&gt;&gt; Generasi emas. Tidak semua harus pake APBN. IKN aja cuma 20% pake APBN. Sisanya investor. Pak Mahfud: Lah investor siapa nih mas maksudnya?,tanya tiga bangun infrastuktur fisik bangun sdm mas gibran duaduanya penting indonesia emas gtgt generasi emas semua pake apbn ikn aja cuma 20 pake apbn sisa investor pak mahfud lah investor siapa nih mas maksud,"ask the three physical infrastructure builds for building human resources, bro, it is important that the golden indonesia is gold, all the golden generation uses the apbn, only 20 using the rest of the investor mr. mahfud is the investor, bro",Netral
Fri Dec 22 13:28:47 +0000 2023,anginlewat,Maksud cak imin drpd bangun ikn mending prioritasin kembangkan kota2 yg sudah ada dulu krn dasar2 infrastuktur sdh ada di kota2 tsb jd investasi yg dibutuhkan lbh kecil #DebatCawapres,maksud cak imin drpd bangun ikn mending prioritasin kembang kota2 dulu krn dasar2 infrastuktur sudah ada kota2 tsb jadi investasi butuh lbh kecil,"the purpose of cak imin, drpd, built a priority to the cities first because the basic infrastructure was already in the cities so that the investment needed a small more",Netral
Mon Dec 04 13:00:42 +0000 2023,dbduebeejn,@Ferignw21 Bener nih adanya IKN akan membuat pembangunan infrastuktur kita lebih merata #CapresSesatTolakIKN,bener nih ada ikn buat bangun infrastuktur lebih rata,this is true there is an ikn for building infrastructure even more,Mendukung
Mon Dec 04 12:57:30 +0000 2023,shsjebeejenej,@CFebta IKN ini ada agar infrastuktur kita semakin merata #CapresSesatTolakIKN,ikn ada infrastuktur makin rata,ikn there is an infrastructure more flat,Mendukung
Sun Dec 03 13:55:02 +0000 2023,Jotuna2020,@Kremata_Channel @Pengabdi_Crypto @kumparan Kaji ulang IKN atau kereta cepat silakan yg kurang ditambahin yg berlebihan dikurangin. Yg penting babat habis koruptor. InsyaAllah banyak pembangunan2 infrastuktur atau program2 lain yg bisa dijalankan.,kaji ulang ikn kereta cepat sila kurang ditambahin lebih rangin penting babat habis koruptor insyaallah banyak pembangunan2 infrastuktur program2 yang jalan,"review the fast train ikn sila is not added more important rangin sabat after corruptor, god willing, there are many development of infrastructure programs that work",Mendukung
Thu Nov 23 05:34:20 +0000 2023,sinkretisme_,@pemantautemlen1 @hereforsungjin @Kop15achet @Rezasyariatii Wkwkwkw kok ya percaya fokus mau dialihkan ke kalimantan? kalkulasi materi aja udah susah emg harus proyeksinya jauh dan paradigma pembangunannya jelas. Kalo masy masih kemakan pemb infrastuktur yaudah disitu aja kita. Paradigma pemb ga jelas IKN skrg,wkwkwkw kok percaya fokus mau alih kalimantan kalkulasi materi aja udah susah emg proyeksi jauh paradigma bangun jelas kalo masy makan pemb infrastuktur yaudah situ aja paradigma pemb jelas ikn skrg,"wkwkwkw why believe the focus of wanting to transfer kalimantan material calculation alone is already difficult to projection far paradigm wake up clearly if the community will eat infrastructure, that's all the paradigm is clear",Netral
Thu Nov 23 04:20:16 +0000 2023,suryasena53,Ini capres gimana sih? Bicara kemakmuran merata tdk perlu bangun infrastuktur? Eh busset!!! Bgmn petani/peternak distribusi hsl nya kalau jalan rusak? Berputar dan makan waktu biaya? IKN mmg terlalu dipaksakan! Beda dg jalan Tol dll!,capres gimana sih bicara makmur rata tdk perlu bangun infrastuktur eh busset bgmn petanipeternak distribusi hsl nya kalau jalan rusak putar makan waktu biaya ikn mmg terlalu paksa beda jalan tol,"candidates how do you talk about prosperous, no need to build infrastructure, eh, busset, how much the hsl distribution, if the road is damaged, it will turn the time to take the time to be too forced",Netral
Mon Nov 20 16:01:25 +0000 2023,saragihruth22,Telkom Indonesia dukung penuh penyediaan infrastuktur dan layanan di IKN #ElevatingYourFuture #KinerjaPositifBUMN @KemenBUMN @Telkomindonesia @erickthohir https://t.co/f20h21QJix,telkom indonesia dukung penuh sedia infrastuktur layan ikn,telkom indonesia full support infrasturure of ikn sayan,Mendukung
Mon Nov 20 12:53:05 +0000 2023,Twisted_Tazz,Telkom Indonesia siapkan rencana pembangunan infrastuktur dan layanan di IKN #ElevatingYourFuture #KinerjaPositifBUMN @KemenBUMN @Telkomindonesia @erickthohir https://t.co/TEB0sRYDSu,telkom indonesia siap rencana bangun infrastuktur layan ikn,telkom indonesia ready to plan to build ikn road infrastructure,Mendukung
Mon Nov 20 12:52:12 +0000 2023,Twisted_Tazz,penyediaan infrastuktur dan layanan digital di IKN didukung penuh oleh Telkom Indonesia #ElevatingYourFuture #KinerjaPositifBUMN @KemenBUMN @Telkomindonesia @erickthohir https://t.co/wfjTBboUSd,sedia infrastuktur layan digital ikn dukung penuh telkom indonesia,ready for infrastructure for digital services ikn fully support telkom indonesia,Netral
Mon Nov 20 12:45:44 +0000 2023,GaspriA,Telkom Indonesia mendukung penuh penyediaan infrastuktur dan layanan digital di IKN #ElevatingYourFuture #KinerjaPositifBUMN @KemenBUMN @Telkomindonesia @erickthohir https://t.co/a8AJOdNOCX,telkom indonesia dukung penuh sedia infrastuktur layan digital ikn,telkom indonesia fully supports the digital ikn service infrastructure,Netral
Sun Nov 19 10:49:27 +0000 2023,gustjahSaja,@Naz_lira IKN hanya mengalihkan &amp; mengubur kegagalan 9th berkuasa utk memakmurkan negeri dgn swasembada menyuguhkan seolah2 ada proyek pemerataan pembangunan infrastuktur sjg melupakan kemajuan sektor pertanian pendidikan &amp; sumber daya alam utk kesejahteraan negeri nya sendiri.,ikn alih amp kubur gagal 9th kuasa utk makmur negeri dgn swasembada suguh seolah2 proyek perata bangun infrastuktur sjg lupa maju sektor tani didik amp sumber daya alam utk sejahtera negeri nya sendiri,important amproduction failure 9th power for the state of the state with the protection of the programs,Netral
Wed Nov 15 14:59:49 +0000 2023,resiantoadhitya,Cita2 Presiden Jokowi utk Indonesia Emas 2045 jelas ya rumusnya dari Infrastuktur Digitalisasi Hilirisasi Pengembangan SDM dan IKN Nusantara. Siapapun capres dan cawapres yg melaksankan ini pasti Beliau dukung.,cita2 presiden jokowi utk indonesia emas 2045 jelas rumus infrastuktur digitalisasi hilir kembang sdm ikn nusantara siapa capres cawapres melaksankan pasti beliau dukung,the ideals of president jokowi for indonesia gold 2045 are clear the infrastructure formula for digitalizing downstream flower hr ikn nusantara who is the candidate for the vice president,Netral
Fri Nov 03 07:31:13 +0000 2023,bariecode,Mantap!! Kawal terus demokrasi yang sehat Jangan sampai Pembangunan infrastuktur IKN hancur berkeping karena kalah bersaing dengan pembangunan INFRASTRUKTUR DINASTI jokowi!! ,mantap kawal terus demokrasi sehat jangan bangun infrastuktur ikn hancur keping kalah saing bangun infrastruktur dinasti jokowi,"steady guard continues to be healthy democracy, don't build infrastructure to be destroyed by losing competitiveness in building jokowi's dynasty infrastructure",Mendukung
Wed Oct 25 07:18:19 +0000 2023,RusdiRu01226366,@DrPullmanrogers @PDI_Perjuangan @ganjarpranowo @mohmahfudmd @prabowo @kangdede78 Memang harus GAMA Peraih nilai scor pemilih tertinggi di Pilpres 2024 jangan sampai tidak teraih kemenangan di Pilpres 2024..kalau ingin Indonesia maju dan sejahtera dan meneruskan pembangunan infrastuktur IKN dll..kalau bukan GAMA di kwatirkan macet persiapan menuju Ind emas.,memang gama raih nilai scor pilih tinggi pilpres 2024 jangan tidak raih menang pilpres 2024kalau indonesia maju sejahtera terus bangun infrastuktur ikn dllkalau bukan gama kwatirkan macet siap tuju ind emas,"indeed, i won the scor value, choose the height of the 2024 presidential election, don't not win the 2024 presidential election, if indonesia is progressing, continues to build infrastructure, if it is not gamma, it",Tidak Mendukung
Sun Oct 22 10:31:11 +0000 2023,basrahmat,@anton_sukisno @Dennysiregar7 @jokowi Jadi pembangunan hukum di rezim ini juga baik2 saja ? Infrastuktur dengan mengubah2 UU juga banyak lho ??? UU IKN dan ketenagakerjaan juga salah lho prosedurnya ? Kok cm ini yang diprotes ?? https://t.co/oJd25nIQkp,jadi bangun hukum rezim baik2 infrastuktur mengubah2 uu banyak lho uu ikn ketenagakerjaan juga salah lho prosedur kok cm yang protes,"so build the law of the regime, the infrastructure changes the law, you know that the employment law is also wrong, you know the procedure",Tidak Mendukung
Wed Apr 12 06:25:21 +0000 2023,JeanlynAjean,Infrastuktur di IKN Nusantara akan canggih #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/z0yHgLbCd4,infrastuktur ikn nusantara canggih,sophisticated ikn nusantara infrastructure,Mendukung
Mon Apr 10 05:51:09 +0000 2023,milieana1,@KotaNusantara @AnakTangsiAD @ardi_tama1 @ikn_id Tegaskan pemerataan Infrastuktur #PindahIbuKota,tegas perata infrastuktur,stressed the infrastructure,Netral
Sun Apr 09 23:18:45 +0000 2023,umaralims,Fakta__Jokowi Gagal Total. - Korupsi paling Brutal Berjamaah olh instansi keuangan dll. - infrastuktur palsu - Hukum Berantakan - IKN gagal penuh dusta. - Legislatif tuli dan mati rasa pd rakyat. https://t.co/tURGIDF1ZQ,faktajokowi gagal total korupsi paling brutal jamaah olh instansi uang infrastuktur palsu hukum beranta ikn gagal penuh dusta legislatif tuli mati rasa pd rakyat,jokowi's fact is completely failed to corrupt the most brutal pilgrims by agencies with fake infrastructure laws in the law failed full of lies of the legislative deafness of the people,Tidak Mendukung
